type,num_iter,row,col,threads,time
gof_cuda,1000,2,2,256,0.0069284
gof_cuda,1000,4,4,256,0.00709225
gof_cuda,1000,6,6,256,0.00720607
gof_cuda,1000,8,8,256,0.00707551
gof_cuda,1000,10,10,256,0.00662482
gof_cuda,1000,12,12,256,0.00790117
gof_cuda,1000,14,14,256,0.00755344
gof_cuda,1000,16,16,256,0.00645808
gof_cuda,1000,32,32,256,0.00733085
gof_cuda,1000,64,64,256,0.00807798
gof_cuda,1000,96,96,256,0.00763062
gof_cuda,1000,128,128,256,0.00868247
gof_cuda,1000,160,160,256,0.00826515
gof_cuda,1000,192,192,256,0.00765985
gof_cuda,1000,224,224,256,0.00918945
gof_cuda,1000,256,256,256,0.00888067
gof_cuda,1000,288,288,256,0.00801268
gof_cuda,1000,320,320,256,0.0082035
gof_cuda,1000,352,352,256,0.00908321
gof_cuda,1000,384,384,256,0.00936539
gof_cuda,1000,416,416,256,0.00961865
gof_cuda,1000,448,448,256,0.00930196
gof_cuda,1000,480,480,256,0.0105762
gof_cuda,1000,512,512,256,0.0105762
gof_cuda,1000,544,544,256,0.0113381
gof_cuda,1000,576,576,256,0.0107393
gof_cuda,1000,608,608,256,0.0120587
gof_cuda,1000,640,640,256,0.012031
gof_cuda,1000,672,672,256,0.0121788
gof_cuda,1000,704,704,256,0.0120495
gof_cuda,1000,736,736,256,0.0125788
gof_cuda,1000,768,768,256,0.0121739
gof_cuda,1000,800,800,256,0.0132062
gof_cuda,1000,832,832,256,0.0136373
gof_cuda,1000,864,864,256,0.0139187
gof_cuda,1000,896,896,256,0.0145861
gof_cuda,1000,928,928,256,0.0150166
gof_cuda,1000,960,960,256,0.0146273
gof_cuda,1000,992,992,256,0.0162039
gof_cuda,1000,1024,1024,256,0.0167313
gof_cuda,1000,1056,1056,256,0.0171488
gof_cuda,1000,1088,1088,256,0.0183435
gof_cuda,1000,1120,1120,256,0.0188754
gof_cuda,1000,1152,1152,256,0.0192814
gof_cuda,1000,1184,1184,256,0.0198849
gof_cuda,1000,1216,1216,256,0.0206747
gof_cuda,1000,1248,1248,256,0.0231888
gof_cuda,1000,1280,1280,256,0.023641
gof_cuda,1000,1312,1312,256,0.025501
gof_cuda,1000,1344,1344,256,0.0247837
gof_cuda,1000,1376,1376,256,0.0251203
gof_cuda,1000,1408,1408,256,0.0253602
gof_cuda,1000,1440,1440,256,0.0244383
gof_cuda,1000,1472,1472,256,0.0251418
gof_cuda,1000,1504,1504,256,0.0283206
gof_cuda,1000,1536,1536,256,0.028813
gof_cuda,1000,1568,1568,256,0.0273445
gof_cuda,1000,1600,1600,256,0.0284956
gof_cuda,1000,1632,1632,256,0.0287283
gof_cuda,1000,1664,1664,256,0.0293157
gof_cuda,1000,1696,1696,256,0.0298978
gof_cuda,1000,1728,1728,256,0.0309913
gof_cuda,1000,1760,1760,256,0.0329802
gof_cuda,1000,1792,1792,256,0.0368181
gof_cuda,1000,1824,1824,256,0.0337291
gof_cuda,1000,1856,1856,256,0.0346949
gof_cuda,1000,1888,1888,256,0.0365718
gof_cuda,1000,1920,1920,256,0.0378156
gof_cuda,1000,1952,1952,256,0.0386586
gof_cuda,1000,1984,1984,256,0.0409486
gof_cuda,1000,2016,2016,256,0.0430382
