type,num_iter,row,col,threads,time
gof_cuda,1000,32,32,32,0.00636011
gof_cuda,1000,1024,1024,32,0.0326483
gof_cuda,1000,10240,10240,32,1.53487
gof_cuda,1000,20480,20480,32,6.05065
gof_cuda,1000,30720,30720,32,14.7414
gof_cuda,1000,32,32,256,0.00647822
gof_cuda,1000,1024,1024,256,0.0177661
gof_cuda,1000,10240,10240,256,0.853899
gof_cuda,1000,20480,20480,256,3.45477
gof_cuda,1000,30720,30720,256,8.27179
gof_cuda,1000,32,32,1024,0.00685725
gof_cuda,1000,1024,1024,1024,0.0219636
gof_cuda,1000,10240,10240,1024,1.22372
gof_cuda,1000,20480,20480,1024,3.97054
gof_cuda,1000,30720,30720,1024,8.59649
