type,num_iter,row,col,threads,time
gof_opencl,1000,2,2,256,0.0201694
gof_opencl,1000,4,4,256,0.0198787
gof_opencl,1000,6,6,256,0.0217183
gof_opencl,1000,8,8,256,0.0202300
gof_opencl,1000,10,10,256,0.0216511
gof_opencl,1000,12,12,256,0.0212493
gof_opencl,1000,14,14,256,0.0257475
gof_opencl,1000,16,16,256,0.018296
gof_opencl,1000,32,32,256,0.0199231
gof_opencl,1000,64,64,256,0.0202049
gof_opencl,1000,96,96,256,0.0202041
gof_opencl,1000,128,128,256,0.0195271
gof_opencl,1000,160,160,256,0.0205877
gof_opencl,1000,192,192,256,0.0201897
gof_opencl,1000,224,224,256,0.0206176
gof_opencl,1000,256,256,256,0.020975
gof_opencl,1000,288,288,256,0.0198646
gof_opencl,1000,320,320,256,0.0221806
gof_opencl,1000,352,352,256,0.0210432
gof_opencl,1000,384,384,256,0.0224659
gof_opencl,1000,416,416,256,0.0225709
gof_opencl,1000,448,448,256,0.022413
gof_opencl,1000,480,480,256,0.0237047
gof_opencl,1000,512,512,256,0.023307
gof_opencl,1000,544,544,256,0.023559
gof_opencl,1000,576,576,256,0.0244941
gof_opencl,1000,608,608,256,0.0248644
gof_opencl,1000,640,640,256,0.0246044
gof_opencl,1000,672,672,256,0.0243524
gof_opencl,1000,704,704,256,0.0249313
gof_opencl,1000,736,736,256,0.026555
gof_opencl,1000,768,768,256,0.0273693
gof_opencl,1000,800,800,256,0.0273048
gof_opencl,1000,832,832,256,0.0283788
gof_opencl,1000,864,864,256,0.0308004
gof_opencl,1000,896,896,256,0.0332405
gof_opencl,1000,928,928,256,0.0352894
gof_opencl,1000,960,960,256,0.0384483
gof_opencl,1000,992,992,256,0.0404577
gof_opencl,1000,1024,1024,256,0.0423822
gof_opencl,1000,1056,1056,256,0.0442567
gof_opencl,1000,1088,1088,256,0.0517864
gof_opencl,1000,1120,1120,256,0.0478112
gof_opencl,1000,1152,1152,256,0.0505231
gof_opencl,1000,1184,1184,256,0.0531359
gof_opencl,1000,1216,1216,256,0.0538305
gof_opencl,1000,1248,1248,256,0.0555357
gof_opencl,1000,1280,1280,256,0.0573743
gof_opencl,1000,1312,1312,256,0.0586994
gof_opencl,1000,1344,1344,256,0.0623595
gof_opencl,1000,1376,1376,256,0.0628558
gof_opencl,1000,1408,1408,256,0.0643804
gof_opencl,1000,1440,1440,256,0.0676042
gof_opencl,1000,1472,1472,256,0.0689978
gof_opencl,1000,1504,1504,256,0.070422
gof_opencl,1000,1536,1536,256,0.0732118
gof_opencl,1000,1568,1568,256,0.0753678
gof_opencl,1000,1600,1600,256,0.0779061
gof_opencl,1000,1632,1632,256,0.0794589
gof_opencl,1000,1664,1664,256,0.0819614
gof_opencl,1000,1696,1696,256,0.0850332
gof_opencl,1000,1728,1728,256,0.0865488
gof_opencl,1000,1760,1760,256,0.089583
gof_opencl,1000,1792,1792,256,0.0922574
gof_opencl,1000,1824,1824,256,0.0936976
gof_opencl,1000,1856,1856,256,0.0970245
gof_opencl,1000,1888,1888,256,0.100054
gof_opencl,1000,1920,1920,256,0.10244
gof_opencl,1000,1952,1952,256,0.104788
gof_opencl,1000,1984,1984,256,0.108964
gof_opencl,1000,2016,2016,256,0.111227
