type,num_iter,row,col,threads,time
gof_opencl,1000,32,32,32,0.0206431
gof_opencl,1000,1024,1024,32,0.0543594
gof_opencl,1000,10240,10240,32,3.63329
gof_opencl,1000,20480,20480,32,13.8124
gof_opencl,1000,30720,30720,32,31.1616
gof_opencl,1000,32,32,256,0.0168
gof_opencl,1000,1024,1024,256,0.040041
gof_opencl,1000,10240,10240,256,2.28869
gof_opencl,1000,20480,20480,256,8.94512
gof_opencl,1000,30720,30720,256,20.7721
gof_opencl,1000,32,32,1024,0.0171812
gof_opencl,1000,1024,1024,1024,0.0455948
gof_opencl,1000,10240,10240,1024,2.74098
gof_opencl,1000,20480,20480,1024,11.0712
gof_opencl,1000,30720,30720,1024,25.0209
